id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
204;Direito Constitucional;Habeas Corpus;O Habeas Corpus pode ser impetrado por:;Apenas advogado.;Apenas o Ministério Público.;Qualquer pessoa física, em favor próprio ou de outrem.;Apenas a Defensoria Pública.;C;Errado. Não exige capacidade postulatória.;Errado. MP tem legitimidade, mas não exclusiva.;Correto. Qualquer pessoa (até estrangeiro, analfabeto, menor) pode impetrar HC, inclusive o próprio paciente.;Errado. Defensoria tem legitimidade, mas não exclusiva.;HC é uma ação popular gratuita para proteger a liberdade de ir e vir.;Art. 5º, LXVIII da CF/88;Fácil
205;Matemática;Razão e Proporção;Numa turma de 40 alunos, 15 são meninas. Qual a razão entre o número de meninos e o número total de alunos?;15/40;25/40;15/25;25/15;B;Errado. 15/40 é a razão entre meninas e o total.;Correto. Meninos = Total - Meninas = 40 - 15 = 25. Razão = Meninos / Total = 25/40 (que pode ser simplificado para 5/8).;Errado. 15/25 é a razão entre meninas e meninos.;Errado. 25/15 é a razão entre meninos e meninas.;Leia atentamente o que a questão pede (meninos / total).;N/A;Fácil
206;Psicologia (Gestão);Treinamento e Desenvolvimento;O processo de identificar as necessidades de treinamento em uma organização, comparando o desempenho atual com o desempenho desejado, é chamado de:;Avaliação de Desempenho;Levantamento de Necessidades de Treinamento (LNT);Desenho Instrucional;Avaliação de Reação;B;Errado. Avaliação de Desempenho mede o desempenho individual, pode ser fonte para o LNT.;Correto. O LNT é a primeira etapa do ciclo de T&D, focada em diagnosticar onde o treinamento é necessário.;Errado. Desenho Instrucional é planejar como será o treinamento.;Errado. Avaliação de Reação mede a satisfação com o treinamento.;LNT = Diagnóstico (Onde treinar?).;N/A;Fácil
207;Atualidades;Sociedade;O conceito sociológico que descreve a perda de influência das instituições e crenças religiosas na vida social é chamado de:;Fundamentalismo;Secularização;Globalização;Sincretismo;B;Errado. Fundamentalismo é a adesão literal a dogmas religiosos.;Correto. Secularização é o processo de 'separação' entre religião e outras esferas da sociedade (política, ciência, etc.).;Errado. Globalização é a integração mundial.;Errado. Sincretismo é a mistura de diferentes crenças religiosas.;Secular = Não-religioso, mundano.;N/A;Médio
208;Língua Portuguesa;Verbos (Modos e Tempos);Em 'Se eu tivesse dinheiro, viajaria', os verbos destacados estão, respectivamente, no:;Pretérito Imperfeito do Indicativo e Futuro do Pretérito do Indicativo;Pretérito Imperfeito do Subjuntivo e Futuro do Pretérito do Indicativo;Futuro do Subjuntivo e Futuro do Presente do Indicativo;Pretérito Perfeito do Indicativo e Presente do Indicativo;B;Errado.;Correto. 'Tivesse' indica uma condição hipotética no passado (Imperfeito do Subjuntivo). 'Viajaria' indica uma consequência dessa hipótese (Futuro do Pretérito do Indicativo).;Errado.;Errado.;Orações condicionais com 'Se' geralmente usam Imperfeito do Subjuntivo + Futuro do Pretérito.;N/A;Médio
209;Direito Administrativo;Licitações (Lei 14.133);Na Nova Lei de Licitações (14.133/21), qual o prazo mínimo de validade das propostas, contado da data de sua apresentação, salvo disposição em contrário no edital?;30 dias;45 dias;60 dias;90 dias;C;Errado.;Errado.;Correto. O Art. 90, § 3º estabelece o prazo mínimo de 60 dias.;Errado.;É um prazo padrão importante.;Art. 90, § 3º da Lei 14.133/21;Médio
210;Raciocínio Lógico;Lógica de Primeira Ordem;A sentença 'x é maior que 5' é considerada:;Uma proposição verdadeira.;Uma proposição falsa.;Uma proposição composta.;Uma sentença aberta (ou função proposicional).;D;Errado. Não podemos afirmar se é V ou F sem saber o valor de x.;Errado. Mesmo motivo.;Errado. É uma proposição simples.;Correto. Como o valor lógico (V ou F) depende do valor da variável 'x', ela é uma sentença aberta, não uma proposição.;Sentença Aberta = Depende de uma variável. Proposição = Tem valor V ou F definido.;N/A;Fácil
211;Direito Constitucional;Mandado de Segurança;O Mandado de Segurança é cabível para proteger qual tipo de direito?;Direito à liberdade de locomoção.;Direito à informação pessoal.;Direito líquido e certo, não amparado por Habeas Corpus ou Habeas Data.;Direito de petição.;C;Errado. Este é protegido por Habeas Corpus.;Errado. Este é protegido por Habeas Data.;Correto. O MS é a ação residual para proteger direitos claros e comprováveis de plano, quando não couber HC ou HD.;Errado. Direito de petição é exercido diretamente, não por MS.;MS = Direito Líquido e Certo (Residual).;Art. 5º, LXIX da CF/88;Fácil
212;Matemática;Equação do 2º Grau;Quais são as raízes da equação x² - 5x + 6 = 0?;2 e 3;-2 e -3;1 e 6;-1 e -6;A;Correto. Usando Bhaskara (Δ = (-5)² - 416 = 25 - 24 = 1) ou Soma e Produto (Soma=5, Produto=6). As raízes são 2 e 3.;Errado. Verifique os sinais.;Errado. A soma seria 7.;Errado. Verifique os sinais.;Use a fórmula de Bhaskara ou tente encontrar dois números cuja soma seja -b/a e o produto seja c/a.;x = [-b ± sqrt(Δ)] / 2a;Médio
213;Psicologia (Saúde);Psicofarmacologia;Os medicamentos conhecidos como Inibidores Seletivos da Recaptação de Serotonina (ISRS), como a Fluoxetina e a Sertralina, são usados principalmente para tratar qual tipo de transtorno?;Transtornos Psicóticos (ex: Esquizofrenia);Transtornos de Humor (ex: Depressão e Ansiedade);Transtornos Alimentares;Transtornos por Uso de Substâncias;B;Errado. Antipsicóticos são a primeira linha para psicose.;Correto. ISRS são a classe mais comum de antidepressivos e também eficazes para diversos transtornos de ansiedade.;Errado. Embora possam ser usados como coadjuvantes, não são a primeira linha.;Errado.;ISRS aumentam a disponibilidade de serotonina no cérebro.;N/A;Médio
214;Atualidades;Política Internacional;Qual país asiático é conhecido por sua política externa de neutralidade estrita e por sediar diversas organizações internacionais?;Japão;Coreia do Sul;Suíça;Singapura;C;Errado. Japão é aliado dos EUA.;Errado. Coreia do Sul é aliada dos EUA.;Correto. A Suíça tem uma longa tradição de neutralidade e sedia muitos órgãos da ONU e ONGs em Genebra.;Errado. Singapura é um centro financeiro, mas não conhecido por neutralidade estrita.;A Suíça não faz parte de alianças militares como a OTAN.;N/A;Fácil
215;Língua Portuguesa;Vozes Verbais;A frase 'O relatório foi entregue pelo analista' está na voz:;Ativa;Passiva Analítica;Passiva Sintética;Reflexiva;B;Errado. Ativa seria 'O analista entregou o relatório'.;Correto. Tem a estrutura: Sujeito Paciente ('O relatório') + Verbo Ser Auxiliar ('foi') + Verbo Principal no Particípio ('entregue') + Agente da Passiva ('pelo analista').;Errado. Passiva Sintética usa o 'se' apassivador (ex: 'Entregou-se o relatório').;Errado. Reflexiva a ação volta para o sujeito (ex: 'Ele se feriu').;Passiva Analítica = Ser + Particípio.;N/A;Fácil
216;Direito Administrativo;Agentes Públicos (Lei 8.112);Após adquirir a estabilidade, o servidor público só perderá o cargo em virtude de:;Decisão administrativa simples.;Avaliação de desempenho insatisfatória, assegurada ampla defesa.;Sentença judicial transitada em julgado ou processo administrativo disciplinar (PAD).;Pedido do chefe imediato.;C;Errado. Exige processo formal.;Errado. Avaliação insatisfatória é uma das hipóteses, mas precisa de processo específico (não é a única forma).;Correto. As hipóteses constitucionais são: Sentença judicial, PAD, avaliação periódica de desempenho (com lei complementar) e excesso de despesa (com lei complementar).;Errado.;A estabilidade garante proteção contra demissão arbitrária.;Art. 41, § 1º da CF/88;Médio
217;Raciocínio Lógico;Conjuntos;Se A = {1, 2, 3, 4} e B = {3, 4, 5, 6}, qual é o conjunto A ∩ B (interseção)?;{1, 2, 3, 4, 5, 6};{1, 2};{5, 6};{3, 4};D;Errado. Este é o conjunto União (A U B).;Errado. Estes são os elementos que pertencem apenas a A.;Errado. Estes são os elementos que pertencem apenas a B.;Correto. Interseção (∩) são os elementos que pertencem a AMBOS os conjuntos.;Interseção = O que tem em comum.;N/A;Fácil
218;Direito Constitucional;Ações Constitucionais;Qual ação constitucional pode ser proposta por qualquer cidadão para anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente ou ao patrimônio histórico e cultural?;Mandado de Injunção;Ação Civil Pública;Ação Popular;Mandado de Segurança Coletivo;C;Errado. MI é para omissão legislativa.;Errado. ACP é proposta por legitimados específicos (MP, Defensoria, Associações).;Correto. A Ação Popular é o instrumento do cidadão para fiscalizar a Administração.;Errado. MSC é para direitos coletivos ou individuais homogêneos.;Ação Popular = Fiscalização pelo Cidadão.;Art. 5º, LXXIII da CF/88;Fácil
219;Matemática;Geometria Espacial;Qual o volume de um cubo com aresta de 5 cm?;25 cm³;125 cm³;150 cm³;60 cm³;B;Errado. 25 cm² seria a área de uma face.;Correto. Volume do cubo = Aresta³. V = 5 * 5 * 5 = 125 cm³.;Errado. 150 cm² seria a área total das faces (6 * 25).;Errado.;Volume = Lado * Lado * Lado (ou Aresta³).;V = a³;Fácil
220;Psicologia (Saúde);Código de Ética;De acordo com o Código de Ética Profissional do Psicólogo, é vedado ao psicólogo:;Realizar pesquisas científicas.;Prestar serviços em situações de calamidade.;Ser perito em processos judiciais.;Induzir a convicções políticas, filosóficas, morais ou religiosas no exercício profissional.;D;Errado. Pesquisa é incentivada.;Errado. Psicólogos são essenciais em calamidades.;Errado. A atuação como perito é prevista.;Correto. O psicólogo deve respeitar a autonomia e os valores do atendido, sem impor os seus.;O psicólogo não deve usar sua posição para influenciar crenças pessoais.;Art. 2º, b) do CEPP;Médio
221;Atualidades;Conflitos Internacionais;A guerra civil que se arrasta há mais de uma década, envolvendo o governo de Bashar al-Assad, grupos rebeldes e potências estrangeiras, ocorre em qual país do Oriente Médio?;Iraque;Síria;Líbano;Iêmen;B;Errado. O Iraque teve conflitos, mas a guerra civil descrita é a da Síria.;Correto. A Guerra Civil Síria começou em 2011 e envolve múltiplos atores internos e externos.;Errado. O Líbano enfrenta instabilidade, mas não essa guerra civil.;Errado. O Iêmen também vive uma guerra civil complexa, mas distinta da Síria.;A Guerra da Síria gerou uma das maiores crises de refugiados do século XXI.;N/A;Médio
222;Língua Portuguesa;Pronomes Relativos;Complete a frase: 'Esta é a cidade ___ me refiro.';que;a que;cujo;onde;B;Errado. O verbo 'referir-se' pede a preposição 'a'.;Correto. Quem se refere, refere-se A algo. A preposição 'a' exigida pelo verbo se junta ao pronome relativo 'que'.;Errado. 'Cujo' indica posse.;Errado. 'Onde' só pode ser usado para indicar lugar físico (equivale a 'em que').;Verifique a regência do verbo ('referir-se A'). A preposição deve vir antes do pronome relativo.;N/A;Difícil
223;Direito Administrativo;Intervenção do Estado na Propriedade;A modalidade de intervenção em que o Estado utiliza temporariamente bens ou serviços privados em caso de perigo público iminente (ex: usar um hospital particular durante uma epidemia), assegurada indenização posterior se houver dano, é a:;Desapropriação;Servidão Administrativa;Requisição Administrativa;Ocupação Temporária;C;Errado. Desapropriação é a perda definitiva da propriedade.;Errado. Servidão é um ônus real sobre a propriedade (ex: passagem de fios).;Correto. Requisição é o uso transitório e compulsório em caso de perigo iminente.;Errado. Ocupação Temporária é para uso transitório em obras públicas (não necessariamente perigo).;Requisição = Perigo Iminente + Uso Temporário + Indenização Posterior (se dano).;Art. 5º, XXV da CF/88;Difícil
224;Raciocínio Lógico;Raciocínio Analítico;Ana é mais alta que Bia. Carla é mais baixa que Ana. Bia não é a mais baixa. Quem é a mais alta?;Ana;Bia;Carla;Impossível determinar.;A;Correto. Ana > Bia. Ana > Carla. Bia não é a mais baixa (logo, Carla é a mais baixa). A ordem é Ana > Bia > Carla. Ana é a mais alta.;Errado. Ana é mais alta que Bia.;Errado. Carla é mais baixa que Ana e, pelo menos, mais baixa que Bia.;Errado.Organize as informações: A > B, A > C, B > C. Logo, A > B > C., N/A;N/A;N/A;Fácil
225;Direito Constitucional;Controle de Constitucionalidade (Efeitos);Quando o STF declara uma lei inconstitucional em sede de ADI (Ação Direta de Inconstitucionalidade), a decisão tem, em regra, efeitos:;Ex nunc (não retroativos) e inter partes (só entre as partes).;Ex tunc (retroativos) e erga omnes (para todos).;Ex nunc (não retroativos) e erga omnes (para todos).;Ex tunc (retroativos) e inter partes (só entre as partes).;B;Errado. Os efeitos são retroativos (ex tunc) e para todos (erga omnes).;Correto. A decisão anula a lei desde sua origem (ex tunc) e vale para todos (erga omnes), com efeito vinculante.;Errado. Os efeitos são retroativos (ex tunc).;Errado. Os efeitos são para todos (erga omnes).;ADI = Efeito para Todos (erga omnes) e Retroativo (ex tunc).;N/A;Médio
226;Matemática;Teorema de Pitágoras;Em um triângulo retângulo, os catetos medem 6 cm e 8 cm. Qual a medida da hipotenusa?;10 cm;12 cm;14 cm;100 cm;A;Correto. a² = b² + c² => h² = 6² + 8² = 36 + 64 = 100 => h = sqrt(100) = 10 cm.;Errado. Verifique a fórmula.;Errado. A hipotenusa não é a soma dos catetos.;Errado. 100 é o quadrado da hipotenusa.;O quadrado da hipotenusa é igual à soma dos quadrados dos catetos.;a² = b² + c²;Fácil
227;Psicologia (Gestão);Seleção por Competências;Na seleção por competências, o que o entrevistador busca identificar no candidato?;Conhecimentos teóricos gerais.;Traços de personalidade estáveis.;Comportamentos passados que demonstrem as competências exigidas.;Apenas a formação acadêmica.;C;Errado. Conhecimento é parte, mas não o foco principal.;Errado. Traços de personalidade são difíceis de medir e correlacionar com desempenho.;Correto. A premissa é que o comportamento passado é o melhor preditor do comportamento futuro.;Errado. Formação é apenas um dos requisitos.;Foco no CHA (Conhecimentos, Habilidades, Atitudes) demonstrado por ações passadas.;N/A;Médio
228;Atualidades;Ciência e Tecnologia;A tecnologia de edição genética que permite modificar o DNA de organismos vivos com alta precisão, levantando debates éticos, é conhecida como:;Clonagem;Terapia Gênica;CRISPR-Cas9;Transgênicos;C;Errado. Clonagem cria cópias idênticas.;Errado. Terapia Gênica busca corrigir genes defeituosos (pode usar CRISPR).;Correto. CRISPR-Cas9 é a ferramenta de 'tesoura molecular' que revolucionou a edição genética.;Errado. Transgênicos são organismos com genes de outra espécie.;CRISPR = Edição precisa do DNA.;N/A;Médio
229;Língua Portuguesa;Período Composto;A oração destacada em 'É necessário que todos colaborem' é classificada como:;Subordinada Substantiva Objetiva Direta;Subordinada Substantiva Subjetiva;Subordinada Adjetiva Restritiva;Subordinada Adverbial Condicional;B;Errado. Não completa um verbo transitivo direto.;Correto. Funciona como SUJEITO do verbo 'É necessário' ('Isto é necessário').;Errado. Não restringe um substantivo.;Errado. Não indica condição.;Troque a oração por 'ISSO'. Se fizer sentido ('ISSO é necessário'), é Substantiva Subjetiva.;N/A;Médio
230;Direito Administrativo;Licitações (Lei 14.133 - Sanções);A sanção administrativa de 'declaração de inidoneidade para licitar ou contratar com a Administração Pública' prevista na Nova Lei de Licitações:;É aplicável por qualquer órgão da Administração.;Só pode ser aplicada pelo Ministro de Estado, Secretário Estadual ou Municipal.;Tem prazo máximo de 1 ano.;Impede de contratar apenas com o órgão que aplicou a sanção.;B;Errado. É competência exclusiva de certas autoridades.;Correto. O Art. 156, § 4º estabelece essa competência exclusiva.;Errado. O prazo é de 3 a 6 anos (Art. 156, IV).;Errado. A inidoneidade impede de contratar com TODA a Administração Pública (todos os entes).;Inidoneidade = Sanção mais grave, competência restrita, efeitos amplos.;Art. 156, IV e § 4º da Lei 14.133/21;Difícil
231;Raciocínio Lógico;Probabilidade;Qual a probabilidade de, ao retirar uma carta de um baralho comum (52 cartas), ela ser um Rei OU uma carta de Copas?;16/52;17/52;4/52;13/52;A;Correto. P(Rei OU Copas) = P(Rei) + P(Copas) - P(Rei de Copas). Reis = 4. Copas = 13. Rei de Copas = 1. Prob = (4/52) + (13/52) - (1/52) = 16/52.;Errado. Você somou, mas esqueceu de subtrair a interseção (Rei de Copas).;Errado. 4/52 é a chance de ser só Rei.;Errado. 13/52 é a chance de ser só Copas.;Regra do OU (União): P(A U B) = P(A) + P(B) - P(A ∩ B).;N/A;Médio
232;Direito Constitucional;Separação de Poderes;O sistema de 'freios e contrapesos' (checks and balances) visa:;Concentrar todo o poder no Executivo.;Garantir que um Poder possa controlar os excessos dos outros.;Eliminar a necessidade do Poder Judiciário.;Subordinar o Legislativo ao Executivo.;B;Errado. É o oposto.;Correto. É o mecanismo de controle mútuo entre Executivo, Legislativo e Judiciário para evitar abusos.;Errado.;Errado.;Ex: Veto presidencial (Executivo freia Legislativo), Impeachment (Legislativo freia Executivo), Controle de Constitucionalidade (Judiciário freia os outros).;N/A;Fácil
233;Matemática;Análise Combinatória;Quantos anagramas (permutações das letras) tem a palavra 'BOLO'?;4;12;24;6;B;Errado. Seria 4! se todas as letras fossem distintas.;Correto. É uma permutação com repetição. P = n! / (n1! * n2! * ...). Temos 4 letras, com 'O' repetindo 2 vezes. P = 4! / 2! = (4*3*2*1) / (2*1) = 24 / 2 = 12.;Errado. 24 seria se não houvesse repetição.;Errado.;Permutação com Repetição: n! dividido pelo fatorial das repetições.;P(n, n1, n2...) = n! / (n1! * n2! ...);Médio
234;Psicologia (Saúde);Psicologia Social;O fenômeno psicossocial em que indivíduos em um grupo tendem a diminuir seu esforço individual, acreditando que outros farão o trabalho, é chamado de:;Efeito Manada;Pensamento de Grupo (Groupthink);Vadiagem Social (Social Loafing);Facilitação Social;C;Errado. Efeito manada é seguir o grupo sem pensar.;Errado. Groupthink é a busca por consenso que suprime a crítica.;Correto. Vadiagem Social é a tendência de 'pegar carona' no esforço do grupo.;Errado. Facilitação Social é ter o desempenho melhorado pela presença de outros.;Vadiagem = Esforço reduzido em grupo.;N/A;Médio
235;Atualidades;Brasil;Qual bioma brasileiro, conhecido como a 'savana brasileira', cobre grande parte do território central do país e é caracterizado por árvores tortuosas e grande biodiversidade?;Amazônia;Mata Atlântica;Cerrado;Caatinga;C;Errado. Amazônia é floresta tropical úmida.;Errado. Mata Atlântica é floresta tropical na costa.;Correto. O Cerrado é o segundo maior bioma brasileiro.;Errado. Caatinga é o bioma semiárido do Nordeste.;Cerrado = Savana Brasileira.;N/A;Fácil
236;Língua Portuguesa;Regência Nominal;Assinale a alternativa em que a regência nominal está INCORRETA:;Ele tem aversão de multidões.;Tenho certeza de que ele virá.;Sou grato por sua ajuda.;Ele estava ansioso para viajar.;A;Correto (é a incorreta). O substantivo 'aversão' pede a preposição 'a' (aversão A algo).;Errado (está correta). 'Certeza' pede 'de'.;Errado (está correta). 'Grato' pede 'a' ou 'por'.;Errado (está correta). 'Ansioso' pode pedir 'para' ou 'por'.;Substantivos e adjetivos também exigem preposições específicas.;N/A;Médio
237;Direito Administrativo;Improbidade Administrativa (Lei 8.429/92);Após as alterações promovidas pela Lei 14.230/2021, para que um ato seja considerado improbidade administrativa, é necessária a comprovação de:;Apenas a ilegalidade do ato.;Culpa ou dolo do agente.;Apenas o dano ao erário.;Dolo específico do agente.;D;Errado. A mera ilegalidade não basta.;Errado. A modalidade culposa foi excluída da maioria dos atos.;Errado. O dano é necessário para alguns tipos, mas não para todos, e não é suficiente.;Correto. A nova lei exige a comprovação do dolo (intenção) do agente para configurar o ato de improbidade em quase todas as hipóteses.;Nova Lei de Improbidade = Exigência de DOLO.;N/A;Difícil
238;Raciocínio Lógico;Tautologia, Contradição, Contingência;A proposição '(P -> Q) v P' (Se P, então Q, OU P) é um exemplo de:;Tautologia;Contradição;Contingência;Equivalência;A;Correto. Construindo a tabela verdade, o resultado final será sempre Verdadeiro (V), independentemente dos valores de P e Q. (P->Q) é F só se P=V e Q=F. Se P=V, P é V, logo (F v V = V). Se P=F, (P->Q) é V, logo (V v F = V).;Errado. Contradição é sempre Falsa.;Errado. Contingência pode ser V ou F.;Errado.;Tautologia = Sempre Verdadeiro.;N/A;Difícil
239;Direito Constitucional;Processo Legislativo;Qual o quórum (número mínimo de votos) necessário para aprovação de uma Proposta de Emenda à Constituição (PEC) em cada Casa do Congresso Nacional?;Maioria simples;Maioria absoluta;Três quintos (3/5) dos membros;Dois terços (2/3) dos membros;C;Errado. Maioria simples é para Leis Ordinárias.;Errado. Maioria absoluta é para Leis Complementares.;Correto. A PEC exige votação em dois turnos, em cada Casa, com aprovação por 3/5 dos respectivos membros.;Errado.;PEC = Quórum Qualificado (3/5), Dois Turnos, Duas Casas.;Art. 60, § 2º da CF/88;Médio
240;Matemática;Função Exponencial;Qual o valor de 2 elevado a -3 (2⁻³)?;-6;-8;1/6;1/8;D;Errado. O expoente negativo não torna o resultado negativo.;Errado. 8 seria 2³.;Errado.;Correto. Expoente negativo inverte a base e torna o expoente positivo: 2⁻³ = (1/2)³ = 1³/2³ = 1/8.;Expoente negativo = Inverte a base.;a⁻ⁿ = 1/aⁿ;Fácil
241;Psicologia (Saúde);Teorias do Desenvolvimento (Erikson);Segundo Erik Erikson, qual é o principal conflito psicossocial vivenciado durante a adolescência (aproximadamente 12 a 18 anos)?;Confiança vs. Desconfiança;Iniciativa vs. Culpa;Identidade vs. Confusão de Papéis;Intimidade vs. Isolamento;C;Errado. Confiança vs. Desconfiança é no primeiro ano de vida.;Errado. Iniciativa vs. Culpa é na idade pré-escolar.;Correto. A busca pela identidade ('Quem sou eu?') é a crise central da adolescência.;Errado. Intimidade vs. Isolamento é no jovem adulto.;Erikson descreveu 8 estágios psicossociais ao longo da vida.;N/A;Médio
242;Atualidades;Saúde Pública;A pandemia que assolou o mundo a partir do final de 2019 foi causada por qual vírus?;Influenza H1N1;Vírus Ebola;SARS-CoV-2;HIV;C;Errado. H1N1 causou a pandemia de 2009.;Errado. Ebola causa febre hemorrágica, com surtos localizados na África.;Correto. SARS-CoV-2 é o coronavírus causador da COVID-19.;Errado. HIV causa a AIDS.;COVID-19 foi causada pelo novo coronavírus (SARS-CoV-2).;N/A;Fácil
243;Língua Portuguesa;Vozes Verbais (Passiva Sintética);A frase 'Alugam-se casas' tem o sujeito:;Indeterminado;Casas (sujeito paciente);Oculto (eles);Inexistente;B;Errado. O 'se' aqui é partícula apassivadora, não índice de indeterminação.;Correto. A frase equivale a 'Casas são alugadas'. 'Casas' é o sujeito que sofre a ação.;Errado.;Errado.;VTD + SE = Voz Passiva Sintética. O objeto direto da ativa vira sujeito paciente.;N/A;Médio
244;Direito Administrativo;Organização Administrativa;Uma empresa criada pelo Estado, com personalidade jurídica de direito privado, capital exclusivamente público e que pode exercer atividade econômica ou prestar serviço público é uma:;Autarquia;Fundação Pública de Direito Privado;Sociedade de Economia Mista;Empresa Pública;D;Errado. Autarquia tem personalidade de direito público.;Errado. Fundação pode ter capital público ou misto (se for de dir. privado).;Errado. Sociedade de Economia Mista tem capital misto (público e privado).;Correto. Empresa Pública (ex: Correios, Caixa Econômica) tem capital 100% público e personalidade de direito privado.;Empresa Pública = 100% Pública, Dir. Privado. Soc. Economia Mista = Capital Misto, Dir. Privado.;N/A;Médio
245;Raciocínio Lógico;Diagramas Lógicos;Se todo A é B e algum B é C, pode-se concluir que:;Todo A é C.;Algum A é C.;Nenhum A é C.;Nenhuma conclusão válida sobre A e C.;D;Errado.;Errado.;Errado.;Correto. O termo médio (B) não está distribuído em nenhuma premissa, impedindo a conclusão.;Analise diagramas de Venn.;N/A;Médio
246;Língua Portuguesa;Ortografia;Qual palavra está grafada CORRETAMENTE?;Paralizar;Analizar;Pesquisar;Atrazado;C;Errado. É 'Paralisar' (com 's').;Errado. É 'Analisar' (com 's').;Correto. 'Pesquisar' é com 's'.;Errado. É 'Atrasado' (com 's').;Verbos terminados em '-isar' são com 's' se a palavra primitiva já tiver 's' (ex: análise -> analisar). Se não tiver, usa-se 'z' (ex: útil -> utilizar). 'Pesquisa' tem 's'.;N/A;Médio
247;Direito Administrativo;Princípios;O princípio que veda a promoção pessoal de autoridades ou servidores públicos em publicidade de atos, programas, obras e serviços governamentais é o da:;Legalidade;Moralidade;Impessoalidade;Eficiência;C;Errado. Legalidade é agir conforme a lei.;Errado. Moralidade é agir com ética e boa-fé.;Correto. A impessoalidade proíbe que a publicidade tenha nomes, símbolos ou imagens que caracterizem promoção pessoal.;Errado. Eficiência é buscar o melhor resultado.;A publicidade deve ter caráter educativo, informativo ou de orientação social.;Art. 37, § 1º da CF/88;Fácil
248;Raciocínio Lógico;Lógica Proposicional;Qual conectivo lógico corresponde à operação 'OU... OU...' (disjunção exclusiva)?;Conjunção (^);Disjunção Inclusiva (v);Condicional (->);Disjunção Exclusiva (v̲);D;Errado. Conjunção é 'E'.;Errado. Disjunção inclusiva é 'OU' (pelo menos um).;Errado. Condicional é 'Se... então...';Correto. A disjunção exclusiva só é verdadeira se APENAS UM dos componentes for verdadeiro.;'Ou chove ou faz sol' (não ambos).;P v̲ Q;Médio
249;Direito Constitucional;Direitos Fundamentais (Remédios);Qual o prazo para impetrar Mandado de Segurança?;Não há prazo.;5 dias.;60 dias.;120 dias.;D;Errado. Existe prazo decadencial.;Errado.;Errado.;Correto. O direito de impetrar MS extingue-se após 120 dias, contados da ciência do ato impugnado.;É um prazo decadencial (não se suspende nem interrompe).;Lei 12.016/2009, Art. 23;Médio
250;Matemática;Álgebra (Inequações);Qual o conjunto solução da inequação 3x - 6 > 9?;x > 5;x < 5;x > 1;x < 1;A;Correto. 3x - 6 > 9 => 3x > 9 + 6 => 3x > 15 => x > 15/3 => x > 5.;Errado. O sinal da desigualdade foi invertido.;Errado. Verifique a soma.;Errado. Verifique o sinal.;Resolva como uma equação normal, mas mantenha o sinal de desigualdade (só inverte se multiplicar/dividir por negativo).;N/A;Fácil
251;Psicologia (Gestão);Gestão por Competências;O que significa o 'C' na sigla CHA, utilizada na gestão por competências?;Carisma;Comunicação;Conhecimento;Comportamento;C;Errado.;Errado.;Correto. CHA representa Conhecimentos (saber teórico), Habilidades (saber fazer) e Atitudes (querer fazer/ser).;Errado. Atitude está mais ligada ao comportamento.;CHA = Conhecimento + Habilidade + Atitude.;N/A;Fácil
252;Atualidades;Brasil (Economia);O principal produto de exportação do agronegócio brasileiro, em termos de valor, tem sido historicamente:;Café;Açúcar;Soja;Carne Bovina;C;Errado. Café foi importante no passado, mas não é mais o principal.;Errado. Açúcar é relevante, mas superado pela soja.;Correto. O complexo soja (grão, farelo, óleo) lidera as exportações do agro brasileiro há muitos anos.;Errado. Carne bovina é um produto importante, mas a soja gera mais receita.;O Brasil é um dos maiores produtores e exportadores de soja do mundo.;N/A;Fácil
253;Língua Portuguesa;Figuras de Linguagem;A repetição intencional da mesma conjunção (geralmente 'e') em uma sequência de orações ou termos é chamada de:;Assíndeto;Polissíndeto;Anáfora;Pleonasmo;B;Errado. Assíndeto é a OMISSÃO de conjunções (ex: Vim, vi, venci).;Correto. Polissíndeto é a REPETIÇÃO da conjunção (ex: E chora, e ri, e grita).;Errado. Anáfora é a repetição de palavra no início de versos/frases.;Errado. Pleonasmo é a repetição de ideias (ex: subir para cima).;Poli = Muitos. Síndeto = Conjunção.;N/A;Médio
254;Direito Administrativo;Servidores Públicos (Acumulação);A Constituição Federal permite a acumulação remunerada de cargos públicos APENAS em algumas hipóteses. Qual das seguintes acumulações é PERMITIDA, havendo compatibilidade de horários?;Dois cargos de professor.;Um cargo de professor com outro técnico ou científico.;Dois cargos ou empregos privativos de profissionais de saúde.;Todas as anteriores estão corretas.;D;Incompleto.;Incompleto.;Incompleto.;Correto. Todas as três hipóteses estão previstas no Art. 37, XVI da CF/88, desde que haja compatibilidade de horários.;A regra é a proibição, as exceções são essas três.;Art. 37, XVI da CF/88;Médio
255;Raciocínio Lógico;Sequências Lógicas (Figuras);Observe a sequência: Quadrado, Triângulo, Círculo, Quadrado, Triângulo, ... Qual a próxima figura?;Quadrado;Triângulo;Círculo;Pentágono;C;Errado.;Errado.;Correto. O padrão que se repete é 'Quadrado, Triângulo, Círculo'.;Errado.;Identifique o bloco que se repete.;N/A;Fácil
